0,Secounds,Amps,Volt
0,2205,15.46,11.7
0,2206,15.46,11.7
0,2207,15.46,11.7
0,2208,15.46,11.7
0,2209,15.46,11.7
0,2210,15.46,11.7
0,2211,15.46,11.7
0,2212,15.46,11.7
0,2213,15.46,11.7
0,2214,15.46,11.7
0,2215,15.46,11.7
0,2216,15.46,11.7
0,2217,15.46,11.7
0,2218,15.46,11.7
0,2219,15.46,11.7
0,2220,15.46,11.7
0,2221,15.46,11.7
0,2222,15.46,11.7
0,2223,15.46,11.7
0,2224,15.46,11.7
0,2225,15.46,11.7
0,2226,15.46,11.7
0,2227,15.46,11.7
0,2228,15.46,11.7
0,2229,15.46,11.7
0,2230,15.46,11.7
0,2231,15.46,11.7
0,2232,15.46,11.7
0,2233,15.46,11.7
0,2233,15.46,11.7
0,2234,15.45,11.7
0,2235,15.45,11.7
0,2236,15.45,11.7
0,2237,15.46,11.7
0,2238,15.45,11.7
0,2239,15.45,11.7
0,2240,15.45,11.7
0,2241,15.45,11.7
0,2242,15.45,11.7
0,2243,15.45,11.7
0,2244,15.45,11.7
0,2245,15.45,11.7
0,2246,15.45,11.7
0,2246,15.46,11.7
0,2247,15.45,11.7
0,2248,15.45,11.7
0,2249,15.45,11.7
0,2250,15.45,11.7
0,2251,15.45,11.7
0,2252,15.45,11.7
0,2253,15.45,11.7
0,2254,15.45,11.7
0,2255,15.45,11.7
0,2256,15.45,11.7
0,2257,15.45,11.7
0,2258,15.45,11.7
0,2259,15.45,11.7
0,2260,15.45,11.7
0,2261,15.45,11.7
0,2262,15.45,11.7
0,2263,15.45,11.7
0,2264,15.45,11.7
0,2265,15.45,11.7
0,2266,15.45,11.7
0,2267,15.45,11.7
0,2268,15.45,11.7
0,2269,15.45,11.7
0,2270,15.45,11.7
0,2271,15.45,11.7
0,2272,15.45,11.7
0,2273,15.45,11.7
0,2274,15.45,11.7
0,2275,15.44,11.7
0,2276,15.45,11.7
0,2277,15.45,11.7
0,2278,15.45,11.7
0,2279,15.45,11.7
0,2280,15.44,11.7
0,2281,15.45,11.7
0,2282,15.45,11.7
0,2283,15.45,11.7
0,2284,15.45,11.7
0,2285,15.45,11.7
0,2286,15.44,11.7
0,2287,15.44,11.7
0,2288,15.44,11.7
0,2289,15.44,11.7
0,2290,15.44,11.7
0,2291,15.44,11.7
0,2292,15.44,11.7
0,2293,15.44,11.7
0,2294,15.44,11.7
0,2295,15.44,11.7
0,2296,15.44,11.7
0,2297,15.44,11.7
0,2298,15.44,11.7
0,2299,15.44,11.7
0,2300,15.44,11.7
0,2301,15.44,11.7
0,2302,15.44,11.7
0,2303,15.44,11.7
0,2304,15.44,11.7
0,2305,15.44,11.7
